Шифра,Артикал,Продажна Цена,Единична Цена,Опис,Достапност,Редовна Цена,ДДВ,Последно ажурирање
849,ЕЛВИ ПРАШОК 2 КГ,150,бр.            ,,Има,150,18,
850,ЕЛВИ СОФТ 1Л ОМЕКНУВАЧ,100,бр.            ,,Има,100,18,
851,"БЕНЕ ЗА СТАКЛО 0,5",30,бр.            ,,Има,30,18,
852,ДОМИНО УНИВЕРЗАЛНО 1Л,90,бр.            ,,Има,90,18,
853,ДОМИНО СОФТ 3Л,186,бр.            ,,Има,186,18,
854,БЕНЕ ЗА СТАКЛО ПУМПА 500+250,55,бр.            ,,Има,55,18,
855,КИСЕЛО МЛЕКО ГОРГИЕВИ,28,бр.            ,,Има,28,5,
856,ВЕЦЕ ФРЕШ ОСВЕЖУВАЧ,25,бр.            ,,Има,25,18,
857,ЧАДЕНО ПИЛ ФИЛЕ СЕЦКАНО 100,27,бр.            ,,Има,27,5,
858,САЛФЕТИ ФРЕШ 60/1,45,бр.            ,,Има,45,18,
859,ТУДЕЈ ТОРТИЧКИ,15,бр.            ,,Има,15,5,
860,НЕОКАЛ СРЕДСТВО ЗА САНИТАРИЈА,52,бр.            ,,Има,52,18,
861,ПАЛЕТА СТИКЕРИ,27,бр.            ,,Има,27,18,
862,ПРОЛОМ ВОДА,40,бр.            ,,Има,40,18,
863,ТЕСТЕНИНИ РИСКОСА,59,бр.            ,,Има,59,5,
864,ХЕПИ КАУ 360ГР,215,бр.            ,,Има,215,5,
865,ХЕПИ КАУ 120ГР,83,бр.            ,,Има,83,10,
866,ХИМАЛАЈСКА СОЛ 500 ГР,108,бр.            ,,Има,108,5,
867,СОДА БИКАРБОНА ТАБЛЕТИ,68,бр.            ,,Има,68,18,
868,САПУН ОРС ПУМПА,60,бр.            ,,Има,60,18,
869,ПЕКАБЕСКО ЗЕЈТИН,85,бр.            ,,Има,85,5,
870,ЛЕШНИК 200ГР ВАКУМ,132,бр.            ,,Има,132,5,
871,БОЈА ЗА ЈАЈЦА ВАРЗИЛО,20,бр.            ,,Има,20,18,
872,КЕКС СЕНДВИЧ 800ГР,97,бр.            ,,Има,97,5,
873,ФРАНЦА ЧАЕН КОЛБАС 250ГР,120,бр.            ,,Има,120,5,
874,КАШКАВАЛ СЛАЈЗ,83,бр.            ,,Има,83,10,
875,СУПА БЕЧКА ПОДРАВКА,57,бр.            ,,Има,57,5,
876,ДОВЕ ТЕЧЕН САПУН 250МЛ,88,бр.            ,,Има,88,18,
877,САМ ТЕЧЕН ПРАШОК,90,бр.            ,,Има,90,18,
878,БРЕФ ВЕЦЕ 3Х50ГР,175,бр.            ,,Има,175,18,
879,ПАШТЕТА АГРИКО 130,28,бр.            ,,Има,28,5,
880,СЕТ НАРЕЗАК 3/1 ВЕРБЛИНСКИ,54,бр.            ,,Има,54,5,
